Timestamp;Username;Navn;Afdeling;PCNavn;OS;Producent;Model1;Model2;S/N;PC-AD-Status
02/10/20 13:36;N1M001;Nikhil Copeland;"Løn, HR og Arbejdsmiljø";PC5001139;Windows 10;Dell Inc.;OptiPlex 7010;01;6CRPJ5J;Aktiv
07/10/20 08:45;N1M002;Carlo Carey;Miljø- og Energiforvaltningen;PC5001268;Windows 10;American Megatrends Inc.;Surface Pro 3;1;014397451253;Aktiv
30/09/20 14:23;N1M003;Jazlene Higgins;MP Vandløb;PC5001299;Windows 10;Dell Inc.;Latitude E7250;;1DR7F72;Aktiv
22/09/20 10:49;N1M004;Agripina Groleau;MP VandMiljø;PC5001303;Windows 10;Dell Inc.;Latitude E7450;;5XG5F72;Aktiv
06/10/20 08:21;N1M005;Kira Kim;"AFS DiGIT, DAD-Opmåling";PC5001316;Windows 10;Dell Inc.;Latitude E7450;;H2FXN72;Aktiv
07/10/20 08:03;N1M006;Orlando Larson;"AFS DiGIT, DAD-Konsulenter";PC5001326;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0E2NWT;Aktiv
03/09/20 12:10;N1M170;Finley Rice;"AFS Kundeservice, Kunde- og Målerdata";PC5001327;Windows 10;Dell Inc.;Latitude E7270;;8BTQGC2;Aktiv
07/10/20 08:18;N1M007;Walter Harrison;MP VirksomhedsMiljø;PC5001329;Windows 10;Dell Inc.;Latitude E7270;;BXYQGC2;Aktiv
07/10/20 06:47;N1M008;Jayce Giles;"ADB Økonomi, Kantine SB5";PC5001335;Windows 10;Dell Inc.;Latitude E7270;;9RD0PC2;Aktiv
07/10/20 03:53;N1M009;Lailah Flores;"AFS Økonomi, Finans";PC5001341;Windows 10;Dell Inc.;Latitude E7470;;96Q9TC2;Aktiv
07/10/20 03:52;N1M010;Kobe Parsons;"AFS DiGIT, DAD";PC5001350;Windows 10;LENOVO;30AVS06X00;ThinkStation P310;S4AV9282;Aktiv
07/10/20 07:04;N1M011;Asher Hayes;"AFS DiGIT, DAD-Konsulenter";PC5001355;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0JC7GN;Aktiv
27/08/20 08:12;N1M609;Armida Calder;BU Netværk for Bæredygtig Erhvervsudv.;PC5001356;Windows 10;Dell Inc.;Latitude E7250;;6J04662;Aktiv
25/08/20 09:22;N1M176;Adrianna Stout;"AFS Kundeservice, Fakt. og Opkrævning";PC5001358;Windows 10;Dell Inc.;Latitude E7270;;BC58WF2;Aktiv
07/10/20 07:07;N1M012;Chad Taylor;"AFS Direktion, Sekretariat og Strategi";PC5001360;Windows 10;Dell Inc.;Latitude E7470;;9WG8WF2;Aktiv
28/09/20 08:17;N1M013;Nikolas Moyer;MEF Eksterne brugere;PC5001361;Windows 10;LENOVO;80U1;MIIX 510-12ISK;YD023VGR;Aktiv
07/10/20 07:14;N1M014;Carie Howell;"AFS Direktion, Jura";PC5001364;Windows 10;Dell Inc.;Latitude E5270;;DNLMWF2;Aktiv
06/10/20 09:07;N1M015;Kamren Pineda;AFV Innovation og Videndeling;PC5001373;Windows 10;Dell Inc.;Latitude E7270;;9LCJ1G2;Aktiv
07/10/20 07:54;N1M016;Jazmin Novak;"AFS DiGIT, IT-Service";PC5001381;Windows 10;LENOVO;20HGS3JB00;ThinkPad T470s;PC0N4PYD;Aktiv
07/10/20 07:44;N1M017;Ashanti Graves;"AFS DiGIT, Projekter";PC5001382;Windows 10;LENOVO;20HGS3JB00;ThinkPad T470s;PC0N4PYC;Aktiv
17/09/20 14:41;N1M162;Braelyn Eaton;"IT-Support, AFS";PC5001384;Windows 10;Dell Inc.;Latitude 7480;;2YJC9H2;Aktiv
07/10/20 07:59;N1M019;Jerome Brooks;"AFS DiGIT, IT-Service";PC5001386;Windows 10;LENOVO;20HMS37W00;ThinkPad X270;PC0NLW3N;Aktiv
07/10/20 08:11;N1M186;Rex Harrell;"AFS Direktion, Sekretariat og Strategi";PC5001388;Windows 10;Dell Inc.;Latitude 7480;;55KK7H2;Aktiv
07/10/20 07:36;N1M020;Victor Hanson;AFS Kunder og Indkøb;PC5001389;Windows 10;Dell Inc.;Latitude 7480;;G063BH2;Aktiv
07/10/20 08:25;N1M021;Sarai Ferguson;"AFS Økonomi, Business Controlling";PC5001390;Windows 10;Dell Inc.;Latitude 7480;;7XQ0FH2;Aktiv
07/10/20 09:47;N1M022;Dustin Bonilla;"AFS DiGIT, DAD-Konsulenter";PC5001392;Windows 10;LENOVO;20HMS1QE00;ThinkPad X270;PC0NLZAR;Aktiv
10/09/20 10:18;N1M045;Maia Cabrera;"AFS DiGIT, IT-Service";PC5001395;Windows 10;Dell Inc.;Latitude 7480;;3RKSLH2;Aktiv
07/10/20 08:20;N1M023;Seth Ortega;"AFS Direktion, Jura";PC5001398;Windows 10;Dell Inc.;Latitude 7480;;71R4MH2;Aktiv
07/10/20 07:53;N1M024;Monica Padilla;"AFS Direktion, Sekretariat og Strategi";PC5001401;Windows 10;Dell Inc.;Latitude 7480;;2M15PH2;Aktiv
07/10/20 09:11;N1M025;Elisha Soto;"AFR Sekretariat, Kørselskontor";PC5001402;Windows 10;Dell Inc.;Latitude 7480;;78P0NH2;Aktiv
07/10/20 08:16;N1M026;Kellen Schwartz;"AFS Direk., HR,Personale og Arbejdsmiljø";PC5001403;Windows 10;Dell Inc.;Latitude 7480;;4N15PH2;Aktiv
